usageID	sense	context	indices_target_token	indices_target_sentence	lemma
combined_sample_ccoha1-104-134:139	['compass.n.03', 'crop.v.05', 'image.n.07', 'range.n.02', 'range.n.03', 'range.n.04', 'range.n.05', 'range.n.06', 'range.v.01', 'range.v.03', 'range.v.04', 'range.v.05', 'range.v.07', 'rate.v.01', 'roll.v.12', 'scope.n.01', 'stove.n.01']	A space had been gradually occupied by the dancers sufficiently large to enable them to walk through the figures and a group of girls ranged	134:140	0:140	range
combined_sample_ccoha1-20-0:6	['fabric.n.01', 'framework.n.02']	fabric that was to be reared the seven men proceed to constitute the church and out of the sermons , and the seven men , and the church , the spirit of liberty passed forth to embody itself in a constitution .	0:6	0:209	fabric
combined_sample_ccoha1-27-131:136	['knead.v.01', 'massage.v.01']	recalling these trifles , and rendering them more misty and unsubstantial than at first by the quantity of speculative musing thus kneaded in with them .	131:138	0:153	knead
combined_sample_ccoha1-31-166:172	['cleave.v.01', 'cleave.v.02', 'cling.v.01']	He turn 'd in apathy to gaze Upon his Austrian bride , Nor heard dark fate 's prophetic sigh That warn 'd the fall of pride , Saw not the vision 'd battle shock That cleft his Babel fame , Nor mark 'd on far Helena 's rock A sepulchre of shame .	166:175	0:245	cleave
combined_sample_ccoha1-4-282:287	['fiddle.v.01', 'shirk.v.02']	to the river and washed , first for , it was in vain to think of swimming there , at a season of the year , when the fresh waters , all about , were full of sawdust , slabs , mud turtles , and floating timber to say nothing of water snakes , which were far more terrible to me than shirks .	282:288	0:290	shirk
combined_sample_ccoha1-40-236:245	['fashion.v.01', 'fashioned.s.01']	The view of the prairie stretching in airy undulations far away , and of the eddying current of the Mississippi , there as everywhere deep and majestic , with its banks skirted with autumncolored foliage , was enough to commend the old fashioned system of stages to more general use .	236:245	0:284	fashioned
combined_sample_ccoha1-47-173:182	['fashion.v.01', 'fashioned.s.01']	But many members of the Equal Rights Party were very suspicious of the political honesty of Tammany , and particularly so long as they saw that the Old hunkers , as the old fashioned unchanged Democrats were nicknamed , had any power there .	173:182	0:241	fashioned
combined_sample_ccoha1-53-153:160	['blacken.v.01', 'char.v.02']	and especially ministers , leave a church from base motives , they of course and proverbially hate their former friends , depreciate their talents , and blacken their names .	153:160	0:174	blacken
combined_sample_ccoha1-60-19:27	['conceive.v.03', 'gestate.v.01', 'think.v.01']	It is difficult to conceive a man placed in such circumstances with more amiable dispositions or with juster views of the rights and duties of men in all their relations with each other , than are exhibited by him on almost	19:27	0:223	conceive
combined_sample_ccoha1-67-78:85	['blacken.v.01', 'char.v.02']	You seem to intend a eulogy , yet leave out whatever was noblest in her , and blacken while you mean to praise .	78:85	0:112	blacken
combined_sample_ccoha1-7-140:149	['fashion.v.01', 'fashioned.s.01']	But it ought to be known that , on this occasion , O'Halloran regulated the proceedings according to his own fancy , which was somewhat old fashioned .	140:149	0:151	fashioned
combined_sample_leipzig_eng_news-0-37:50	['qualification.n.01', 'qualification.n.02', 'reservation.n.02']	Slovan Bratislava's Champions League qualification tie against Faroe Islands side KI Klaksvik has been cancelled after a player from the Slovakian club tested positive for COVID19, European soccer's governing body UEFA said on Saturday.	37:50	0:236	qualification
combined_sample_leipzig_eng_news-101-101:108	['analyze.v.02', 'dissect.v.01']	Vidyut Jammwal has a 'dirty' questionBollywood action star Vidyut Jammwal seems to be in the mood to dissect what defines a dirty person.	101:108	0:137	dissect
combined_sample_leipzig_eng_news-104-141:145	['catch.n.02', 'draw.n.09', 'haul.v.01', 'haul.v.02']	But somehow, for over 40 years, they held it together, like a pair of bickering partners who fight bitterly but are still in it for the long haul.	141:145	0:146	haul
combined_sample_leipzig_eng_news-106-11:18	['germinal.s.01', 'seminal.a.01']	This was a seminal moment no pun intended for Broadway and for movies actually.	11:18	0:79	seminal
