usageID	sense	context	indices_target_token	indices_target_sentence	lemma
PROCESSED_kubhist2a.json-10-0:0	['fia..0-0']	fia böcker pä pergament , hwilket låter upplösa sig font ben .	0:3	0:62	fia
PROCESSED_kubhist2a.json-1000-1:1	['sol..0-3']	revolution , sol » pä intet säll kai , rättfärdigas eller urskuldas , ostördt och obehindradt finga uppoffra Sicilianska monarkien at sina täraktiga waldskraktningar .	13:16	0:167	sol
PROCESSED_kubhist2a.json-1031-7:7	['bet..0-0', 'bet..0-1']	han till alla delar förkastade förflaget , sädant bet nu finnes beffoffadt .	50:53	0:76	bet
PROCESSED_kubhist2a.json-1054-2:2	['beställning..0-0']	Om större beställningar göras , rabatteras 12 * procent eller e » Åttondel	10:23	0:74	beställning
PROCESSED_kubhist2a.json-1057-11:11	['sedan..1-0']	wid detta ställe , och intagit en aftonmåltid i gräset , samt alt , sedan Hans Kongl .	68:73	0:86	sedan
PROCESSED_kubhist2a.json-1113-24:24	['ek..0-1']	Man ser mi ehwad härmed päfyftades , nemligen , at Finland stiille underkastas Rystt wälde , och om denna stämplingen sätt för sig , hade det wcrkeligm blifwit ek stort Swardshugg , Europa lil beundran och Rystland en formidabel styrka .	160:162	0:237	ek
PROCESSED_kubhist2a.json-1217-5:5	['ek..0-1']	behöfde bwarken en Senat eller ek Stats » Rav ; och i allmänhet ingen fä kraftfull or » ganifation , four Frankrike .	31:33	0:117	ek
PROCESSED_kubhist2a.json-1222-30:30	['bet..0-1', 'bet..1-0']	ännu under närwarande Parlaments-sessivn ett sörflag göres till catholsternes lugnande . — UnderhufttS Utstött beträffande Irlands tillsiänd har i hatt och oförwaniltadk afbrutit sitt arbete ; man försäkrar till och med , att 1 bet med 6 rbsier emot 3 & rflutit anhälla hos Parlamentet , z att ett ssidanl Utstött icke mfttc tillsättas under nasta scssioiu l Delta steg wäcker nägon förundran , och man begriper ej phwad det kan betyda .	228:231	0:437	bet
PROCESSED_kubhist2a.json-1401-2:2	['ho..0-0', 'ho..0-1']	Äng-Fartyget Stock ho lutt afgär Tisdagen den 28:de dennes klockan 1 , pä dagen , till Äbo , och återkommer derpä följande mecka .	19:21	0:130	ho
PROCESSED_kubhist2a.json-146-15:15	['ven..0-0', 'ven..1-0']	Maj:t l afseende pa Postens förtstaffande inom Norrige i Nåder anbefallt enahanda åtgärder&gt ; ivinnes Ven fördel ätt swär på bves mellan Stockholm och Christiania kan iUom 8 dagar med Posten erhållas ; hwilket Kongl .	104:107	0:219	ven
PROCESSED_kubhist2a.json-1482-7:7	['sol..0-2', 'sol..0-3']	» M at rädda ifrän de stora olyckor sol » af Wädelö tunna upkoinma , fä bör Leir såten i deras ögon handtcras lika med t. ex. konsten at färga o urkifkt rödt .	36:39	0:159	sol
PROCESSED_kubhist2a.json-1524-10:10	['ven..0-0', 'ven..1-0']	allenast med afseende p.3 minstningcn i penningpungen , utan äfiven pä Ven stad » ' smaken deraf lider .	71:74	0:104	ven
PROCESSED_kubhist2a.json-1525-17:17	['delning..0-1']	Land utgör sedan är 1795 en del af Nyfla Riket , hwarunder det gaf sig efter PälenS fisia delning .	90:97	0:99	delning
PROCESSED_kubhist2a.json-1552-10:10	['länga..0-2', 'länga..0-3']	tyranner , wäldskräktare , fwekfulla ministrar , förderfljga radgifware , nied ett ord : denna länga och bedröfliga lista p8 personer , four , fran ben plats händelserna anwist deln , kunnat gagna och hedra menstlighcten , men i stallet drägt olyckor , blygd och elände öfwer henne , sä stola wi se , att de wanligcn haft ett gansta inskränkt förständ , stundom warit werkligt wanwettiga , såsom en stor del af de Romerska tyrannerne , att de beherrstats af nägon sin tids stora willfarelser och att merendels hwarje grymhet , hwarje wäldsgerning de begätt , haft fin källa i något stort misstag , i nägot lyte i deras hjerna , i det chaos , hwar i deras begrepp warit inswcpta .	95:100	0:679	länga
PROCESSED_kubhist2a.json-158-21:21	['länge..0-0']	Moderna Sammets- och Felbhatlar förfärdigas får billigt piis i Huset N ! » wid stora Glasbr » ksgatan , oswanför Stadsgarden , sista dörrn till höger , längst fram i förstugan .	152:158	0:177	länge
PROCESSED_kubhist2a.json-1592-17:17	['ho..0-0', 'ho..0-1']	En till ören kommen , alfwaiTam , trogen och i sina syflor pålitlig Kokerffa , som i flere år tjent ho * Herrskap pa landet , åstundar dylik tienst .	100:102	0:149	ho
PROCESSED_kubhist2a.json-1609-10:10	['engagerad..0-2']	gansta stort , och sedan ben & gt ; : ste hofwa 7ooer Matroser engagerat stg .	63:72	0:78	engagerad
PROCESSED_kubhist2a.json-182-17:17	['mörkblå..0-0']	«idt för trappan , äro i eoinmihion till salu inlemnade diverse wackra och litet nyttjade Manskläder , bestciende af mörkblå Zrackar , Pantaloner , Wästar , samt Kapprockar , som alla förmibdagar frän kl. 10 till i aro att bese och om priset aceordera .	117:124	0:253	mörkblå
PROCESSED_kubhist2a.json-217-73:73	['fia..0-0']	hwilke r:nc sednare förhållande i RältcnS Protokoll för denna dag uti Mälct imcllan Hr Backman och Herr Handelsmannen Ian kamberg närmare sinnet utredt och upptaget , finner KämnerS Rätten sig föranläten uppstiuka Mälet under förklarande , att S den of RäitcgängSdagarnc här wtd Rätten , Tisdag eller Fredas , sam infaller esker 6 wcckorS förlopp frän den dag detta utstag wvrdet infördt uti de t Stockholm uikvmiliondc Inrikes Tidningarne , stall det åligga Hr Handelsmannen P . Backman fia wid Räitcn i Möler wld upprop infinna , och det wid wike af 3 R:d .	488:491	0:559	fia
PROCESSED_kubhist2a.json-225-6:6	['anföra..0-3']	Klaiider deremot ina de » , tom giller , anföra hos PastorsEmbctet ' derstädes inom Laga tid ; hivitket första gången tmtgöre- .	41:47	0:128	anföra
PROCESSED_kubhist2a.json-227-10:10	['frälse..0-0']	Till salu finnes , nära Huswudffaden ett Säteri med 3 Kemivan Frälse , och 13 st.s Jordtorpare , som Möra isoo Dagswerken uppå egen Kost , rocscfräffr belägenhet , större Åbyggnad af Träd , goda Trägardar , 30 Tunnors ärligt Utsäde uti bördig Lera , uppå Stenfri ?	62:68	0:264	frälse
PROCESSED_kubhist2a.json-247-21:21	['undfalla..0-1']	med bref af den 3o nästlidne September , enligt hvilka Brasilianske Konsuln Hr Cai dero blifvit kastad i fängelse , emedan han låtit undfalla sig , att hans Kejsare väl torde blanda sig i Portugals angelägenheter ..	133:141	0:215	undfalla
PROCESSED_kubhist2a.json-250-4:4	['morgon..0-1']	Uti Domkyrkan predika i morgon , som äriAde Zönd .	24:30	0:50	morgon
PROCESSED_kubhist2a.json-26-0:0	['sedan..1-0']	Sedan Inden P . Frenquell icke inom 2me monader ifra » dest afwikande för stuld återkommit , eller po någor satt sig afhöra lätte ; so warda hans samtelige Borgenärer härigenom kallade , at a Lördagen d .	0:5	0:204	sedan
PROCESSED_kubhist2a.json-261-0:0	['sedan..1-0']	Sedan den af framlidne Kammarherren Wäkborne Herr Carl Jacob von Block den 16 Augusti 18co testamenterade Fond till Pensioner förade , lige Snkor eller Fröknar af Hof- MMait- och Civil Siaren i » , m nu mera hunnit wära till den af Testatoren förestrifne storlek , och Pensions , tilldelningen alltlä deraf med nästa är kommer att taga un början , sär Riddarhus , Directioner härmed till Pensioiiö&gt ; SökandcS underrättelse följande kungöra : Testamentets stadganden i detts afseende äro : 1 ) Ätt Riddarhus Direktionen äger , genom lvttkastning , tilldela Ser Pensioner af zz R:d .	0:5	0:584	sedan
PROCESSED_kubhist2a.json-272-22:22	['delning..0-1']	d ( e : ail Uppgismn rymden och nnttirn nf den Jord som under Äganderätt eller Arrende innehafweS , utan öfwen isiverenökomma om sattet för delningen och hwad dertill widare hörer .	140:149	0:181	delning
PROCESSED_kubhist2a.json-283-60:60	['sedan..1-0']	Undertecknade lik , a Makar , som med swen och moda förwärft det Iilla Bo wi nu inneyafwa , förklara härmed wär yttersta wilja wara : arr hwiken a^ otz den andra » fiesiefwer , skall i sin lifstid slita orubbad » rid hela Boet , sädan , ber dä desinneS , sö w da dea efterkefwande ej ingär i nytt gifte , dä afwitrring ske bör , och ben aflidneS hälft , sedan gäld och skuld gulden blifwit , tillfalla wär k .	354:359	0:409	sedan
PROCESSED_kubhist2a.json-324-33:33	['färga..0-0', 'färga..0-1', 'färga..0-2']	förtjenst ; fiS fann och sä lefwand » har hans bild tttfnat sig sjelf i de flestas sinnen , sa märkeliga woro desi drag äfwen för mängdens ögon ; och sä okonstlad med sanningens enkla och rena färgor , som Mtrycka äfwen s ?ugg ' l , i full hon finnes , syntes den igen wid denna Minneshögtid : liksom den saknade uppstigit ur grafwen , att sjelf » tgöra derwid den wackraste och tillika mest anspräkslösa pryvnad .	193:199	0:414	färga
PROCESSED_kubhist2a.json-332-38:38	['ek..0-1']	en käpp öfwcr hufwudet , hwarmcd han omöjligen kan parera hugget ; i mördarens ansigte rotes icke detta wilda ursinniga raseri som utmärkte honom , och Engelbrechts maka , förn pä kiia famlar sina barn omkring sig , wikar blott häpnad och förskräckelse , ek detta beflukfanima mod , som mäste elda hwarie ädel gwinna dä ho » ser sin man i fara .	255:257	0:345	ek
PROCESSED_kubhist2a.json-332-49:49	['ho..0-0', 'ho..0-1']	en käpp öfwcr hufwudet , hwarmcd han omöjligen kan parera hugget ; i mördarens ansigte rotes icke detta wilda ursinniga raseri som utmärkte honom , och Engelbrechts maka , förn pä kiia famlar sina barn omkring sig , wikar blott häpnad och förskräckelse , ek detta beflukfanima mod , som mäste elda hwarie ädel gwinna dä ho » ser sin man i fara .	320:322	0:345	ho
PROCESSED_kubhist2a.json-422-15:15	['enhällig..0-0']	Uti Zistköpare-Aldermanncn Vcrgs Concourt-Makas angelägenheler , fordras ett nödwändigt bestutS tagande , hwarföre Herrar Borgenärer anmodas att enhälligt sammanträda ä Beurs-Caffehuset i dag Torsdag d .	145:154	0:203	enhällig
PROCESSED_kubhist2a.json-433-38:38	['fia..0-0']	eller Adeligt Ständ upphöid , mä af de wördlghetei » Ltfäljande Litel , Sköldemärke , Privilegier och Jm : munitcter sig begagna , ej heller sin Grestiga , Frir herrliga eller Adeliga Titel af andra till godo njuta & gt ; förr än dan sitt Diplom uttagit , fia till introduktion anmalt , och de till betz erhällsnoe crforderlige prästanda fullgjort , saint att i oswanansirde Kongl .	256:259	0:382	fia
PROCESSED_kubhist2a.json-458-41:41	['länd..0-0']	Längst ner ät östra sidan af Staden , ästundar en ensam person fä bv^a ifränJulii^ mänads början til nästa Michaeli , et ljust och gladt rum ; underrättelse om hvresm^ ' lämnar Madame Lundgren , boendeS en trappa upp i Eästgifn aren Fröandes gäch Den som länt af mig , för nägre wickor sedera , Norrköpings Tidningar , häfwi de i dubbelt POPPtr , med pästrift i rvggen- Är 1 799 , behagade dem Sterställa .	255:259	0:406	länd
PROCESSED_kubhist2a.json-464-17:17	['ty..0-0']	Nyligen ii kvinna frista och goda Berg-Ostron , samt god och färst Hummer , sinnes till salu pä Kallaren Ty ka Lejonet .	105:107	0:120	ty
