usageID	sense	context	indices_target_token	indices_target_sentence	lemma
PROCESSED_kubhist2a.json-10-3:3	['pergament..0-0']	fia böcker pä pergament , hwilket låter upplösa sig font ben .	14:23	0:62	pergament
PROCESSED_kubhist2a.json-1003-19:19	['rättesnöre..0-0']	k ?&gt ; el synes lör mangen sa lått at författa en Lärobok i ChristcndomS kunstapen , sam skal tjena lil rättesnöre för andra , för alla Lärare och Ähörare i en radande Kyr .	106:116	0:175	rättesnöre
PROCESSED_kubhist2a.json-1005-19:19	['därstädes..0-0']	man at den som Reverxen uphittat , af godhet för mig äterställer den , emot hederlig wederMning vä Opera-Källaren til Källare-Mästaren därstädes .	135:144	0:146	därstädes
PROCESSED_kubhist2a.json-102-16:16	['uppbära..0-0']	Tora , hworefter Äkarne eller det sä kallade Wagnman ? , Laget här i Staden hafwa att fordra och uppbära betalning för körslor eller last for twenne Hästar .	97:104	0:157	uppbära
PROCESSED_kubhist2a.json-1021-6:6	['handledning..0-0']	meddela dem , som blilwa anförtrodde deras handledning , den grundligaste nnderwiSning sä wäl i gamla , som moderna Spräken , och alla för en ynglingS t ildning erforderliga kmistaper .	43:54	0:185	handledning
PROCESSED_kubhist2a.json-1026-4:4	['passande..0-0']	till foder , mäst ny , passande för ett längd '	23:31	0:47	passande
PROCESSED_kubhist2a.json-1027-10:10	['tidning..0-0']	mot lagförflaget höll , och som en hans parti ej tillhörande tidning säger pä kammarns ledamöter ha gjort djupt intryck , gick derpä » t att bewisa , det tryckfrihet och opposition i representativa stater ärv nyttiga bäde för folk och kouun . '	61:68	0:244	tidning
PROCESSED_kubhist2a.json-1027-9:9	['tillhörande..0-0']	mot lagförflaget höll , och som en hans parti ej tillhörande tidning säger pä kammarns ledamöter ha gjort djupt intryck , gick derpä » t att bewisa , det tryckfrihet och opposition i representativa stater ärv nyttiga bäde för folk och kouun . '	49:60	0:244	tillhörande
PROCESSED_kubhist2a.json-1038-3:3	['alltid..0-0', 'alltid..0-1']	mer , som hon alltid wisst sig wara en wän «f Constitutionen , och under förra systemet Aotlsiällt sig för faror genom att skydda flere Liberale .	14:20	0:146	alltid
PROCESSED_kubhist2a.json-1059-8:8	['hädankalla..0-0']	en stilla död ben 4 Juli rz-6 behagat hädankalla Enickare-Mästaren Elias Ciaestvn , ester en test nad af 58 är och z mänader .	38:48	0:126	hädankalla
PROCESSED_kubhist2a.json-1074-10:10	['enhällig..0-0']	Asscssoren I . F. G . von Schank ' s gäldbundna Bo behagade enhälligt samnia	60:69	0:76	enhällig
PROCESSED_kubhist2a.json-1081-7:7	['hörn..0-0', 'hörn..0-1']	AsreZ fäs i Läder- och Tobaksboden witz hörnet H '	40:46	0:50	hörn
PROCESSED_kubhist2a.json-1094-3:3	['tidning..0-0']	U&gt ; i flera tidningar har man berättat att den Porttrgisiste	15:24	0:63	tidning
PROCESSED_kubhist2a.json-1100-10:10	['häst..0-0']	kun ' a eihallas sä önffas arr sa köpa e^&gt ; dvlif Häst mot r.auoriunda dra It ut pris , hälst en som tillika n , vre något riden .	53:57	0:133	häst
PROCESSED_kubhist2a.json-1104-73:73	['tillhörande..0-0']	Möbler , Postlin och Glas , Gäng- , Linnoch Gängkläder , Magnar , Selar , och Äkerrcdstap , in Lotter i Äldre Tobaks-Fabrikcn uti Carlskrona , 2:11c Lotter i Sockerbruket , z:ne Lotter i Säpebruket och i-igldels lott i en Mjölqwarn , Bark- och Mtdmalsstamp härstädes , en Galjas , byggd pä Kravell af Ek och Furu , om 35 Läster , en öppen Dito om 47 Läster och en backad Slup- äfwen byggd pä Kravell af Ek och Furu , om 25 Lästers drägt , med deras tillhörande Inventarier ; samt en harwid Ronneby belägen Jordegendom , jnnehällande 3 och i-iKdels Skattlagdt Tunneland .	449:460	0:570	tillhörande
PROCESSED_kubhist2a.json-111-28:28	['uppbära..0-0']	Gustavi Domkyrka bör betalas , nu ar för handen , kungöres härigenom , att denna lega kommer ä följande dttgar , fr & » kl io tili 13 f m . , att af Herrar Kyrkosöresiändarne uppbäras 1 Kyrkans S kristia , e&lt ; mot qvitto ä Bäi.krumssedlarne , hwilke till den ain dan stola uppwisas nemi .	175:183	0:291	uppbära
PROCESSED_kubhist2a.json-111-9:9	['härigenom..0-0']	Gustavi Domkyrka bör betalas , nu ar för handen , kungöres härigenom , att denna lega kommer ä följande dttgar , fr & » kl io tili 13 f m . , att af Herrar Kyrkosöresiändarne uppbäras 1 Kyrkans S kristia , e&lt ; mot qvitto ä Bäi.krumssedlarne , hwilke till den ain dan stola uppwisas nemi .	59:68	0:291	härigenom
