usageID	sense	context	indices_target_token	indices_target_sentence	lemma
combined_sample_ccoha1-0-93:99	['fresh.s.11', 'unused.s.02', 'unused.s.04']	During my voyage , affrighted by the dangers which surrounded me , and to which I was wholly unused , I heartily repented of my resolution but now , methinks , I have reason to rejoice at my perseverance .	93:99	0:205	unused
combined_sample_ccoha1-1-168:175	['tramp_down.v.01', 'tread.v.02']	It were less cruel for me to have slain her , after the brutal fashion of our people , than to have taught her hopes and feelings on which the cruel necessity makes me trample , as if I cared for them nothing .	168:175	0:210	trample
combined_sample_ccoha1-10-69:77	['gestate.v.01', 'think.v.01']	The words of my father occurred to me more than once but I could not conceive that such a calamity was the work of Providence for some good or wise purpose .	69:77	0:157	conceive
combined_sample_ccoha1-100-50:58	['beget.v.01', 'begotten.s.01']	They were the offspring of terror and treachery , begotten in the palaces of Kings , by traitors to their duty , and falsifiers of their honor , perjurers , whose oaths could not bind , but only tempted .	50:58	0:204	begotten
combined_sample_ccoha1-101-127:136	['different.a.01', 'different.s.02', 'different.s.03', 'different.s.05']	Tariff and antitariff views and the like , have had less to do in producing the commotions which have convulsed our country at different times , than many are aware of .	127:136	0:169	different
combined_sample_ccoha1-102-91:99	['carry.v.23', 'persuade.v.02']	were thus positively forbidden to meet had our fathers spoken their real sentiments , I am persuaded they would both of them have approved our affection for each other .	91:100	0:169	persuade
combined_sample_ccoha1-103-145:153	['decrease.v.01', 'diminish.v.02']	Violence on one side and obstinacy on the other rendered his efforts of no avail yet still the Earl of Southampton faithfully attended the daily diminishing court of the misguided Charles .	145:156	0:189	diminish
combined_sample_ccoha1-105-77:84	['supply.v.01']	But there may be other circumstances , in the absence of positive proof , to furnish grounds for believing that	77:84	0:111	furnish
combined_sample_ccoha1-106-143:150	['persecute.v.01']	These shadows of memory tell , indistinctly , of tall figures that lifted and bore me in silence down down still down till a hideous dizziness oppressed me at the mere idea of the interminableness of the descent .	143:152	0:213	oppress
combined_sample_ccoha1-107-81:87	['intrude_on.v.01', 'invade.v.04']	What took place when she saw her aged father led away , a prisoner what thoughts invaded that father 's mind when the prison bolt grated on his ear , and he found himself shut from all that had been dear to him through life , regard for the feelings of the reader forbids us recounting here .	81:88	0:292	invade
combined_sample_ccoha1-108-271:278	['thence.r.02', 'thereof.r.01']	term of every court of sessions , and the Finance Cornruittee of each village and town society , shall , by resolution , determine the amount to be contributed by such society to the funds of the county society , if the same should be required , and notify the president thereof .	271:278	0:280	thereof
combined_sample_ccoha1-109-84:91	['demolish.v.03', 'destroy.v.01', 'destroy.v.02']	One of the first things noticeable in Fourier 's system of association , is that it destroys all	84:92	0:96	destroy
combined_sample_ccoha1-11-109:117	['powerfully.r.01', 'strongly.r.01']	Mrs. Layton leant against the window , her handkerchief at her eyes , and her back to the light , which fell strongly on the stranger 's face .	109:117	0:143	strongly
combined_sample_ccoha1-110-87:93	['attend.v.05']	The Mississippians began to abandon themselves to the pleasures and dissipations which attend suddenly acquired fortunes .	87:93	0:122	attend
combined_sample_ccoha1-111-176:180	['decant.v.01', 'pour.v.04', 'pour.v.05']	Spiffard had willingly obeyed the summons , glad to be relieved , in some degree , from his own thoughts by change of place and the veteran , leaning on his arm , continued to pour forth his remarks and moralizings with renewed energy , but with increasing abruptness .	176:180	0:269	pour
combined_sample_ccoha1-12-0:6	['framework.n.02']	fabrics Of man 's pride , lay crumbling ' neath my feet fallen Desolate like thy fortunes , mighty city .	0:7	0:105	fabric
combined_sample_ccoha1-13-25:34	['different.s.02', 'different.s.05', 'unlike.a.01']	Acts have been passed at different times to facilitate this object and the whole amount of proceeds arising from these sales is now pledged for the gradual payment of the public debt , till it shall be extinguished .	25:34	0:216	different
combined_sample_ccoha1-14-76:82	['unused.s.04']	he said , with a modest air , unaccustomed as I am to public speaking , and unused as I am to receiving from ladies assurances of a character similar to There , now !	76:82	0:166	unused
combined_sample_ccoha1-15-27:31	['engage.v.07']	They have feared lest , in waging war upon this new movement , they should seem to stand in the same category with James Watson Webb , and other kindred spirits , whose heartless and cowardly attacks , have received , what they merited , the deep contempt of the upright throughout the land .	27:33	0:292	wage
combined_sample_ccoha1-16-20:28	['think.v.01']	We are at a loss to conceive why these faunae should be associated into one great zoological province , from which the Arctic fauna is excluded , seeing that so many of the species found in the latter range so extensively through the regions assigned to the former .	20:28	0:266	conceive
combined_sample_ccoha1-17-93:100	['tramp_down.v.01', 'trample.v.02']	Leoni Then rest assured thou art The great avenger of an injured girl , Whose honor has been trampled on by one Who now inherits all the misery of his guilt In Hell 's deep gulf , where hope can never come .	93:101	0:207	trample
combined_sample_ccoha1-18-69:76	['trample.v.02', 'tread.v.02']	His noble mind could scarcely conceive of that malignity which could trample upon a solitary and defenceless individual , placed by accident in the hands of numerous personal enemies .	69:76	0:184	trample
combined_sample_ccoha1-19-8:12	['engage.v.07']	We must wage war against him till he is humbled or subdued .	8:12	0:60	wage
combined_sample_ccoha1-2-20:28	['powerfully.r.01', 'strongly.r.01']	When the wind blows strongly from the north and northeast , the sea , in the course of eight days , will destroy the work of years .	20:28	0:132	strongly
combined_sample_ccoha1-21-13:19	['awaken.v.03']	the feelings awakened in the bosoms of those thus conveying to the grave the mortal remains of one whom they had known in life Must they not have heard within their own breasts a voice loud as that of an archangel , saying , Be ye also ready !	13:21	0:243	awaken
