instanceID	label	comment	annotator
attend-combined_sample_ccoha1-110-87:93-attend.v.01	0		Nisha
attend-combined_sample_ccoha1-110-87:93-attend.v.02	0		Nisha
attend-combined_sample_ccoha1-110-87:93-attend.v.03	0		Nisha
attend-combined_sample_ccoha1-110-87:93-attend.v.05	1		Nisha
attend-combined_sample_ccoha1-110-87:93-serve.v.10	0		Nisha
attend-combined_sample_ccoha1-83-46:52-attend.v.01	1		Nisha
attend-combined_sample_ccoha1-83-46:52-attend.v.02	1		Nisha
attend-combined_sample_ccoha1-83-46:52-attend.v.03	0		Nisha
attend-combined_sample_ccoha1-83-46:52-attend.v.05	1		Nisha
attend-combined_sample_ccoha1-83-46:52-serve.v.10	0		Nisha
attend-combined_sample_ccoha1-95-38:44-attend.v.01	0		Nisha
attend-combined_sample_ccoha1-95-38:44-attend.v.02	1		Nisha
attend-combined_sample_ccoha1-95-38:44-attend.v.03	1		Nisha
attend-combined_sample_ccoha1-95-38:44-attend.v.05	1		Nisha
attend-combined_sample_ccoha1-95-38:44-serve.v.10	0		Nisha
attend-combined_sample_ccoha1-97-62:68-attend.v.01	0		Nisha
attend-combined_sample_ccoha1-97-62:68-attend.v.02	0		Nisha
attend-combined_sample_ccoha1-97-62:68-attend.v.03	1		Nisha
attend-combined_sample_ccoha1-97-62:68-serve.v.10	0		Nisha
audience-combined_sample_leipzig_eng_news-92-18:26-audience.n.01	0		Nisha
audience-combined_sample_leipzig_eng_news-92-18:26-audience.n.02	1		Nisha
audience-combined_sample_leipzig_eng_news-92-18:26-consultation.n.01	0		Nisha
audience-combined_sample_leipzig_eng_news-92-18:26-hearing.n.02	0		Nisha
awaken-combined_sample_ccoha1-21-13:19-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-23-55:61-awaken.v.01	1		Nisha
awaken-combined_sample_ccoha1-23-55:61-awaken.v.03	1		Nisha
attend-combined_sample_ccoha1-97-62:68-attend.v.05	0		Nisha
awaken-combined_sample_ccoha1-21-13:19-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-21-13:19-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-23-55:61-wake_up.v.02	1		Nisha
awaken-combined_sample_ccoha1-24-168:174-awaken.v.01	1		Nisha
awaken-combined_sample_ccoha1-24-168:174-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-24-168:174-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-30-61:67-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-30-61:67-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-30-61:67-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-39-137:143-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-39-137:143-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-39-137:143-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-46-47:53-awaken.v.01	1		Nisha
awaken-combined_sample_ccoha1-46-47:53-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-46-47:53-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-48-65:71-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-48-65:71-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-48-65:71-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-54-34:40-awaken.v.01	1		Nisha
awaken-combined_sample_ccoha1-54-34:40-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-54-34:40-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-63-36:42-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-63-36:42-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-63-36:42-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-69-160:166-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-69-160:166-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-69-160:166-wake_up.v.02	0		Nisha
awaken-combined_sample_ccoha1-77-84:90-awaken.v.01	0		Nisha
awaken-combined_sample_ccoha1-77-84:90-awaken.v.03	1		Nisha
awaken-combined_sample_ccoha1-77-84:90-wake_up.v.02	1		Nisha
baked-combined_sample_leipzig_eng_news-55-35:40-adust.s.01	0		Nisha
baked-combined_sample_leipzig_eng_news-55-35:40-bake.v.01	0		Nisha
baked-combined_sample_leipzig_eng_news-55-35:40-bake.v.02	0		Nisha
baked-combined_sample_leipzig_eng_news-55-35:40-bake.v.04	0		Nisha
baked-combined_sample_leipzig_eng_news-55-35:40-baked.s.02	1		Nisha
baked-combined_sample_leipzig_eng_news-55-35:40-broil.v.02	0		Nisha
basis-combined_sample_leipzig_eng_news-114-98:103-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-114-98:103-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-114-98:103-footing.n.02	1		Nisha
basis-combined_sample_leipzig_eng_news-184-7:12-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-184-7:12-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-184-7:12-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-26-104:109-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-26-104:109-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-26-104:109-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-30-94:99-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-30-94:99-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-30-94:99-footing.n.02	1		Nisha
basis-combined_sample_leipzig_eng_news-32-31:36-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-32-31:36-basis.n.03	0		Nisha
basis-combined_sample_leipzig_eng_news-32-31:36-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-37-71:76-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-37-71:76-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-37-71:76-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-40-36:41-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-40-36:41-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-40-36:41-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-41-82:87-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-41-82:87-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-41-82:87-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-60-63:68-basis.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-60-63:68-basis.n.03	1		Nisha
basis-combined_sample_leipzig_eng_news-60-63:68-footing.n.02	0		Nisha
basis-combined_sample_leipzig_eng_news-74-151:156-basis.n.02	1		Nisha
basis-combined_sample_leipzig_eng_news-74-151:156-basis.n.03	0		Nisha
basis-combined_sample_leipzig_eng_news-74-151:156-footing.n.02	0		Nisha
bask-combined_sample_leipzig_eng_news-109-22:26-bask.v.02	0		Nisha
bask-combined_sample_leipzig_eng_news-109-22:26-enjoy.v.01	1		Nisha
bask-combined_sample_leipzig_eng_news-156-27:31-bask.v.02	0		Nisha
bask-combined_sample_leipzig_eng_news-156-27:31-enjoy.v.01	1		Nisha
bask-combined_sample_leipzig_eng_news-99-21:25-bask.v.02	0		Nisha
bask-combined_sample_leipzig_eng_news-99-21:25-enjoy.v.01	1		Nisha
begotten-combined_sample_ccoha1-100-50:58-beget.v.01	1		Nisha
begotten-combined_sample_ccoha1-100-50:58-begotten.s.01	1		Nisha
behave-combined_sample_leipzig_eng_news-149-173:179-act.v.02	1		Nisha
behave-combined_sample_leipzig_eng_news-149-173:179-behave.v.02	0		Nisha
behave-combined_sample_leipzig_eng_news-149-173:179-behave.v.03	0		Nisha
behave-combined_sample_leipzig_eng_news-88-84:90-act.v.02	1		Nisha
behave-combined_sample_leipzig_eng_news-88-84:90-behave.v.02	1		Nisha
behave-combined_sample_leipzig_eng_news-88-84:90-behave.v.03	0		Nisha
blacken-combined_sample_ccoha1-93-67:74-blacken.v.01	0		Nisha
blacken-combined_sample_ccoha1-93-67:74-char.v.02	0		Nisha
chokehold-combined_sample_leipzig_eng_news-180-28:37-stranglehold.n.01	1		Nisha
civic-combined_sample_leipzig_eng_news-160-22:27-civic.a.01	1		Nisha
blacken-combined_sample_ccoha1-53-153:160-blacken.v.01	0		Nisha
blacken-combined_sample_ccoha1-53-153:160-char.v.02	0		Nisha
blacken-combined_sample_ccoha1-67-78:85-blacken.v.01	0		Nisha
blacken-combined_sample_ccoha1-67-78:85-char.v.02	0		Nisha
chokehold-combined_sample_leipzig_eng_news-180-28:37-chokehold.n.02	0		Nisha
civic-combined_sample_leipzig_eng_news-160-22:27-civil.a.04	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-call.n.04	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.n.01	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.n.02	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.n.03	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.n.04	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.v.01	1		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.v.02	1		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.v.03	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.v.04	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-claim.v.05	0		Nisha
claim-combined_sample_leipzig_eng_news-145-149:154-title.n.07	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-call.n.04	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.n.01	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.n.02	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.n.03	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.n.04	0		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.v.01	0		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.v.02	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.v.03	1		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.v.04	0		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-claim.v.05	0		Nisha
claim-combined_sample_leipzig_eng_news-164-90:95-title.n.07	0		Nisha
clank-combined_sample_ccoha1-28-52:57-clang.n.01	1		Nisha
clank-combined_sample_ccoha1-28-52:57-clank.v.01	1		Nisha
cleave-combined_sample_ccoha1-31-166:172-cleave.v.01	0		Nisha
cleave-combined_sample_ccoha1-31-166:172-cleave.v.02	0		Nisha
cleave-combined_sample_ccoha1-31-166:172-cling.v.01	0		Nisha
conceive-combined_sample_ccoha1-10-69:77-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-10-69:77-gestate.v.01	1		Nisha
conceive-combined_sample_ccoha1-10-69:77-think.v.01	1		Nisha
conceive-combined_sample_ccoha1-16-20:28-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-16-20:28-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-16-20:28-think.v.01	1		Nisha
conceive-combined_sample_ccoha1-37-24:32-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-37-24:32-gestate.v.01	1		Nisha
conceive-combined_sample_ccoha1-37-24:32-think.v.01	1		Nisha
death-combined_sample_ccoha1-72-61:66-death.n.02	1		Nisha
conceive-combined_sample_ccoha1-41-23:31-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-41-23:31-think.v.01	0		Nisha
conceive-combined_sample_ccoha1-42-193:201-conceive.v.03	1		Nisha
conceive-combined_sample_ccoha1-42-193:201-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-43-21:29-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-41-23:31-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-43-21:29-think.v.01	1		Nisha
conceive-combined_sample_ccoha1-62-26:34-think.v.01	1		Nisha
consume-combined_sample_ccoha1-89-78:85-consume.v.02	0		Nisha
consume-combined_sample_ccoha1-89-78:85-consume.v.04	0		Nisha
consume-combined_sample_ccoha1-89-78:85-consume.v.05	1		Nisha
consume-combined_sample_ccoha1-89-78:85-devour.v.03	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-class.n.02	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.n.03	1		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.n.07	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.v.01	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-path.n.04	1		Nisha
cry-combined_sample_leipzig_eng_news-168-84:87-cry.n.01	1		Nisha
cry-combined_sample_leipzig_eng_news-168-84:87-cry.n.02	0		Nisha
cry-combined_sample_leipzig_eng_news-168-84:87-cry.n.05	0		Nisha
cry-combined_sample_leipzig_eng_news-168-84:87-cry.v.02	0		Nisha
cry-combined_sample_leipzig_eng_news-168-84:87-shout.v.02	0		Nisha
cry-combined_sample_leipzig_eng_news-86-127:130-cry.v.02	0		Nisha
cry-combined_sample_leipzig_eng_news-86-127:130-cry.v.04	1		Nisha
cry-combined_sample_leipzig_eng_news-86-127:130-cry.v.07	0		Nisha
cry-combined_sample_leipzig_eng_news-86-127:130-exclaim.v.01	0		Nisha
conceive-combined_sample_ccoha1-42-193:201-think.v.01	0		Nisha
conceive-combined_sample_ccoha1-43-21:29-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-52-19:27-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-52-19:27-gestate.v.01	1		Nisha
conceive-combined_sample_ccoha1-52-19:27-think.v.01	1		Nisha
conceive-combined_sample_ccoha1-56-240:248-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-56-240:248-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-56-240:248-think.v.01	0		Nisha
conceive-combined_sample_ccoha1-60-19:27-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-60-19:27-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-60-19:27-think.v.01	0		Nisha
conceive-combined_sample_ccoha1-61-19:27-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-61-19:27-gestate.v.01	0		Nisha
conceive-combined_sample_ccoha1-61-19:27-think.v.01	1		Nisha
conceive-combined_sample_ccoha1-62-26:34-conceive.v.03	0		Nisha
conceive-combined_sample_ccoha1-62-26:34-gestate.v.01	0		Nisha
consume-combined_sample_ccoha1-89-78:85-consume.v.03	0		Nisha
consume-combined_sample_ccoha1-89-78:85-consume.v.06	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.n.01	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.n.02	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.n.04	0		Nisha
course-combined_sample_leipzig_eng_news-142-126:132-course.n.08	0		Nisha
