instanceID	label	comment	annotator
PROCESSED_kubhist2a.json-10-0:0-fia..0-0	0		Benjamin
PROCESSED_kubhist2a.json-10-3:3-pergament..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1000-1:1-sol..0-0	-		Benjamin
PROCESSED_kubhist2a.json-1000-1:1-sol..0-2	-		Benjamin
PROCESSED_kubhist2a.json-1000-1:1-sol..0-3	-		Benjamin
PROCESSED_kubhist2a.json-1003-19:19-rättesnöre..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1005-19:19-därstädes..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1011-2:2-just..0-0	0		Benjamin
PROCESSED_kubhist2a.json-1011-2:2-just..0-4	0		Benjamin
PROCESSED_kubhist2a.json-102-16:16-uppbära..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1021-6:6-handledning..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1026-4:4-passande..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1026-4:4-passande..0-1	0		Benjamin
PROCESSED_kubhist2a.json-1027-10:10-tidning..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1027-9:9-tillhörande..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1031-7:7-bet..0-0	0		Benjamin
PROCESSED_kubhist2a.json-1031-7:7-bet..0-1	0		Benjamin
PROCESSED_kubhist2a.json-1031-7:7-bet..1-0	1		Benjamin
PROCESSED_kubhist2a.json-1038-3:3-alltid..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1038-3:3-alltid..0-1	1		Benjamin
PROCESSED_kubhist2a.json-1038-3:3-alltid..0-4	0		Benjamin
PROCESSED_kubhist2a.json-1054-2:2-beställning..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1057-11:11-sedan..1-0	0		Benjamin
PROCESSED_kubhist2a.json-1059-8:8-hädankalla..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1074-10:10-enhällig..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1081-7:7-hörn..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1081-7:7-hörn..0-1	1		Benjamin
PROCESSED_kubhist2a.json-1094-3:3-tidning..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1100-10:10-häst..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1100-10:10-häst..0-2	0		Benjamin
PROCESSED_kubhist2a.json-1104-73:73-tillhörande..0-0	1		Benjamin
PROCESSED_kubhist2a.json-111-28:28-uppbära..0-0	1		Benjamin
PROCESSED_kubhist2a.json-111-9:9-härigenom..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1113-24:24-ek..0-0	0		Benjamin
PROCESSED_kubhist2a.json-1113-24:24-ek..0-1	0	ETT, not EK...	Benjamin
PROCESSED_kubhist2a.json-1117-15:15-sinnad..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1125-10:10-medan..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1125-10:10-medan..0-2	1		Benjamin
PROCESSED_kubhist2a.json-10-0:0-fia..0-0	-		lilianerika
PROCESSED_kubhist2a.json-1129-15:15-alltid..0-0	0		Benjamin
PROCESSED_kubhist2a.json-1129-15:15-alltid..0-1	1		Benjamin
PROCESSED_kubhist2a.json-1129-15:15-alltid..0-4	0		Benjamin
PROCESSED_kubhist2a.json-10-3:3-pergament..0-0	1		lilianerika
PROCESSED_kubhist2a.json-1132-2:2-omständighet..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1000-1:1-sol..0-0	1		lilianerika
PROCESSED_kubhist2a.json-1135-14:14-utestående..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1000-1:1-sol..0-2	-		lilianerika
PROCESSED_kubhist2a.json-114-7:7-borgen..0-0	1		Benjamin
PROCESSED_kubhist2a.json-1000-1:1-sol..0-3	0		lilianerika
